state_name,county_name,fips_code,report_date,cases_per_100K_7_day_count_change,percent_test_results_reported_positive_last_7_days,community_transmission_level
Idaho,Bannock County,16005,2021/08/18,181.080,15.11,high
Iowa,Monona County,19133,2021/08/18,suppressed,2.27,substantial
Texas,Burleson County,48051,2021/08/18,374.130,23.33,high
Texas,Concho County,48095,2021/08/18,"2,311.080",66.67,high
Puerto Rico,Sabana Grande Muno,72121,2021/08/18,69.090,20.63,high
Maryland,Anne Arundel County,24003,2021/08/18,89.430,4.64,substantial
Mississippi,Montgomery County,28097,2021/08/18,634.270,19.43,high
Tennessee,Davidson County,47037,2021/08/18,345.610,13.89,high
Virginia,Goochland County,51075,2021/08/18,147.350,3.84,high
Louisiana,Sabine Parish,22085,2021/08/18,556.860,12.85,high
North Dakota,Rolette County,38079,2021/08/18,112.870,8.00,high
Utah,Washington County,49053,2021/08/18,0.000,20.76,high
Alabama,Houston County,01069,2021/08/18,578.950,37.22,high
California,Placer County,06061,2021/08/18,271.630,9.70,high
Minnesota,Jackson County,27063,2021/08/18,233.600,16.53,high
Ohio,Hardin County,39065,2021/08/18,108.400,10.45,high
Alabama,Clarke County,01025,2021/08/18,393.700,22.69,high
Missouri,Shannon County,29203,2021/08/18,306.150,20.19,high
North Carolina,Wilson County,37195,2021/08/18,233.490,9.84,high
Oregon,Umatilla County,41059,2021/08/18,658.110,19.44,high
Texas,Wheeler County,48483,2021/08/18,197.780,33.33,high
Virginia,Louisa County,51109,2021/08/18,103.750,5.07,high
California,Del Norte County,06015,2021/08/18,"1,182.940",,high
Florida,Washington County,12133,2021/08/18,734.110,31.27,high
Illinois,McDonough County,17109,2021/08/18,151.610,7.51,high
Kansas,Edwards County,20047,2021/08/18,suppressed,20.00,high
Kansas,Meade County,20119,2021/08/18,297.550,30.00,high
New York,Nassau County,36059,2021/08/18,194.040,4.58,high
Vermont,Chittenden County,50007,2021/08/18,180.740,3.51,high
Virginia,Rappahannock County,51157,2021/08/18,176.390,7.46,high
Washington,Kittitas County,53037,2021/08/18,210.700,8.96,high
Georgia,Spalding County,13255,2021/08/18,425.770,21.21,high
Maryland,Kent County,24029,2021/08/18,144.170,6.27,high
Pennsylvania,Montour County,42093,2021/08/18,suppressed,4.12,moderate
Washington,Garfield County,53023,2021/08/18,suppressed,,high
North Carolina,Chowan County,37041,2021/08/18,337.090,16.72,high
Utah,Wayne County,49055,2021/08/18,suppressed,4.35,high
Georgia,Schley County,13249,2021/08/18,570.670,23.40,high
Mississippi,Jefferson County,28063,2021/08/18,615.160,21.25,high
Missouri,Stoddard County,29207,2021/08/18,616.710,22.66,high
North Carolina,Avery County,37011,2021/08/18,131.000,6.18,high
Alaska,Prince of Wales-Hyder CA,02198,2021/08/18,274.060,6.93,high
Connecticut,New Haven County,09009,2021/08/18,141.560,3.42,high
Iowa,Ringgold County,19159,2021/08/18,0.000,17.07,high
Kentucky,Wolfe County,21237,2021/08/18,670.670,22.70,high
Louisiana,St. James Parish,22093,2021/08/18,639.930,16.16,high
Minnesota,Chippewa County,27023,2021/08/18,245.760,10.96,high
Minnesota,Martin County,27091,2021/08/18,116.850,6.43,high
Missouri,Knox County,29103,2021/08/18,454.660,22.92,high
Florida,Union County,12125,2021/08/18,"1,023.820",31.30,high
Hawaii,Hawaii County,15001,2021/08/18,395.510,7.86,high
Texas,Leon County,48289,2021/08/18,333.260,18.10,high
Alaska,Juneau Cty&Bor,02110,2021/08/18,440.980,7.05,high
Georgia,Harris County,13145,2021/08/18,320.690,24.26,high
Idaho,Jefferson County,16051,2021/08/18,123.870,20.47,high
Mississippi,Tate County,28137,2021/08/18,225.980,15.46,high
Ohio,Guernsey County,39059,2021/08/18,159.490,7.98,high
Texas,Angelina County,48005,2021/08/18,528.170,26.81,high
Utah,Wasatch County,49051,2021/08/18,205.330,13.68,high
Alabama,Tallapoosa County,01123,2021/08/18,658.950,15.14,high
Kansas,Finney County,20055,2021/08/18,268.740,25.40,high
Texas,Castro County,48069,2021/08/18,199.200,22.73,high
Florida,Citrus County,12017,2021/08/18,644.140,24.94,high
Montana,Wibaux County,30109,2021/08/18,0.000,,low
New Mexico,Colfax County,35007,2021/08/18,200.990,9.00,high
Pennsylvania,Tioga County,42117,2021/08/18,54.200,5.53,substantial
Arkansas,Fulton County,05049,2021/08/18,384.710,8.95,high
Colorado,Jackson County,08057,2021/08/18,0.000,,low
Hawaii,Kalawao County,15005,2021/08/18,0.000,,low
Kentucky,Boyle County,21021,2021/08/18,329.340,7.63,high
Oklahoma,Coal County,40029,2021/08/18,837.120,30.77,high
Texas,Edwards County,48137,2021/08/18,suppressed,,high
Texas,Zavala County,48507,2021/08/18,447.640,28.41,high
Massachusetts,Franklin County,25011,2021/08/18,74.100,1.69,substantial
Michigan,Iron County,26071,2021/08/18,suppressed,6.06,moderate
Montana,Silver Bow County,30093,2021/08/18,183.300,4.25,high
Oklahoma,Sequoyah County,40135,2021/08/18,671.170,32.04,high
Colorado,Rio Blanco County,08103,2021/08/18,173.940,5.33,high
Illinois,Marion County,17121,2021/08/18,663.890,12.99,high
Iowa,Butler County,19023,2021/08/18,256.250,13.50,high
Kentucky,Garrard County,21079,2021/08/18,401.900,13.52,high
Michigan,Delta County,26041,2021/08/18,259.890,14.38,high
Michigan,Osceola County,26133,2021/08/18,55.410,6.50,substantial
New York,Schuyler County,36097,2021/08/18,suppressed,2.39,moderate
Texas,Stonewall County,48433,2021/08/18,suppressed,,substantial
Wisconsin,Buffalo County,55011,2021/08/18,161.150,6.56,high
Wyoming,Sweetwater County,56037,2021/08/18,217.270,16.08,high
Alabama,Chilton County,01021,2021/08/18,407.400,25.64,high
Nebraska,Cuming County,31039,2021/08/18,0.000,,low
Texas,Floyd County,48153,2021/08/18,367.650,14.29,high
Alabama,Escambia County,01053,2021/08/18,969.070,25.83,high
Mississippi,Leflore County,28083,2021/08/18,670.620,18.17,high
New Jersey,Salem County,34033,2021/08/18,195.560,12.28,high
New York,Washington County,36115,2021/08/18,86.600,2.98,substantial
Colorado,Lake County,08065,2021/08/18,209.180,15.15,high
Georgia,Newton County,13217,2021/08/18,489.510,16.73,high
Illinois,Scott County,17171,2021/08/18,747.320,12.90,high
Michigan,Chippewa County,26033,2021/08/18,42.840,2.65,moderate
North Dakota,Bottineau County,38009,2021/08/18,suppressed,1.67,high
Virginia,Orange County,51137,2021/08/18,202.420,12.65,high
Alaska,Kodiak Island Borough,02150,2021/08/18,646.250,2.14,high
